,Unnamed: 0,name,lat,lon,Total
3,3,HOUSTON,29.7589382,-95.3676974,486725.099999999
1838,1973,JACKSONVILLE,30.3321838,-81.655651,372875.19999999966
11,11,JACKSONVILLE,30.3321838,-81.655651,372875.19999999966
435,444,JACKSONVILLE,30.3321838,-81.655651,372875.19999999966
2046,2213,JACKSONVILLE,30.3321838,-81.655651,372875.19999999966
1082,1129,JACKSONVILLE,30.3321838,-81.655651,372875.19999999966
1484,1567,JACKSONVILLE,30.3321838,-81.655651,372875.19999999966
521,531,SPRINGFIELD,39.7989763,-89.6443688,370376.9
2507,2777,SPRINGFIELD,39.7989763,-89.6443688,370376.9
129,132,SPRINGFIELD,39.7989763,-89.6443688,370376.9
1694,1806,SPRINGFIELD,39.7989763,-89.6443688,370376.9
140,144,SPRINGFIELD,39.7989763,-89.6443688,370376.9
515,525,SPRINGFIELD,39.7989763,-89.6443688,370376.9
201,205,SPRINGFIELD,39.7989763,-89.6443688,370376.9
6,6,SAN ANTONIO,29.4246002,-98.4951405,369776.2999999993
28,30,LAS VEGAS,36.1662859,-115.149225,363208.3999999996
1891,2035,LAS VEGAS,36.1662859,-115.149225,363208.3999999996
1833,1965,DALLAS,32.7761963,-96.7968994,351493.3999999996
2116,2296,DALLAS,32.7761963,-96.7968994,351493.3999999996
8,8,DALLAS,32.7761963,-96.7968994,351493.3999999996
14,14,COLUMBUS,39.9622601,-83.00070649999998,348272.50000000023
105,108,COLUMBUS,39.9622601,-83.00070649999998,348272.50000000023
728,745,COLUMBUS,39.9622601,-83.00070649999998,348272.50000000023
1294,1358,COLUMBUS,39.9622601,-83.00070649999998,348272.50000000023
1347,1413,COLUMBUS,39.9622601,-83.00070649999998,348272.50000000023
4,4,PHILADELPHIA,39.952335,-75.16378900000002,342793.3999999997
2792,3124,PHILADELPHIA,39.952335,-75.16378900000002,342793.3999999997
5,5,PHOENIX,33.44676810000001,-112.07567240000002,340106.39999999944
2478,2735,LOUISVILLE,38.2542376,-85.759407,326938.99999999977
1550,1642,LOUISVILLE,38.2542376,-85.759407,326938.99999999977
12,12,INDIANAPOLIS,39.7683331,-86.1583502,306865.40000000026
2,2,CHICAGO,41.8755546,-87.6244212,300933.99999999994
1,1,LOS ANGELES,34.053717,-118.24272659999998,278805.2000000004
43,45,TULSA,36.1556805,-95.9929113,278719.0
450,460,PORTLAND,45.5202471,-122.6741949,261050.8
2132,2315,PORTLAND,45.5202471,-122.6741949,261050.8
1801,1929,PORTLAND,45.5202471,-122.6741949,261050.8
26,28,PORTLAND,45.5202471,-122.6741949,261050.8
27,29,OKLAHOMA CITY,35.4729886,-97.5170536,259745.69999999995
57,60,CINCINNATI,39.1014537,-84.5124602,257551.1000000002
1193,1249,GREENVILLE,34.851354,-82.3984882,256646.99999999985
938,971,GREENVILLE,34.851354,-82.3984882,256646.99999999985
2682,2987,GREENVILLE,34.851354,-82.3984882,256646.99999999985
518,528,GREENVILLE,34.851354,-82.3984882,256646.99999999985
2591,2875,GREENVILLE,34.851354,-82.3984882,256646.99999999985
316,322,GREENVILLE,34.851354,-82.3984882,256646.99999999985
1975,2134,GREENVILLE,34.851354,-82.3984882,256646.99999999985
56,58,PITTSBURGH,40.4416941,-79.99008609999998,256419.4000000001
50,52,TAMPA,27.9477595,-82.458444,253706.1
1890,2034,JACKSON,32.29903839999999,-90.1847691,253468.3000000001
2390,2632,JACKSON,32.29903839999999,-90.1847691,253468.3000000001
446,455,JACKSON,32.29903839999999,-90.1847691,253468.3000000001
955,989,JACKSON,32.29903839999999,-90.1847691,253468.3000000001
121,124,JACKSON,32.29903839999999,-90.1847691,253468.3000000001
2829,3169,KNOXVILLE,35.9603948,-83.92102609999998,242663.29999999987
114,117,KNOXVILLE,35.9603948,-83.92102609999998,242663.29999999987
2490,2752,CHARLOTTE,35.2270869,-80.8431268,238816.50000000012
16,16,CHARLOTTE,35.2270869,-80.8431268,238816.50000000012
44,46,CLEVELAND,41.5051613,-81.6934446,233349.10000000012
2752,3077,CLEVELAND,41.5051613,-81.6934446,233349.10000000012
772,792,CLEVELAND,41.5051613,-81.6934446,233349.10000000012
2074,2248,CLEVELAND,41.5051613,-81.6934446,233349.10000000012
32,34,SACRAMENTO,38.5815719,-121.4943996,229533.3000000002
37,39,ATLANTA,33.749098700000005,-84.39018490000002,225656.3
0,0,NEW YORK,40.730599100000006,-73.9865812,224141.0000000001
22,22,BALTIMORE,39.2908608,-76.61080729999998,223355.3000000001
30,32,TUCSON,32.2217422,-110.9264759,221934.39999999988
7,7,SAN DIEGO,32.7174209,-117.1627714,212701.5
2727,3045,LEXINGTON,38.0464066,-84.4970393,212246.6
2328,2560,LEXINGTON,38.0464066,-84.4970393,212246.6
1518,1605,LEXINGTON,38.0464066,-84.4970393,212246.6
1552,1644,LEXINGTON,38.0464066,-84.4970393,212246.6
15,15,FORT WORTH,32.753177,-97.3327459,207227.00000000023
106,109,MOBILE,30.6943566,-88.04305409999998,195528.20000000013
1932,2084,MIAMI,25.7742658,-80.1936589,191444.3000000002
